date,symbol,name,board,close,score,turnover,ret_3,ret_5,volume_ratio_5,market_limit_hits,suggest_reason,tail_ret_1430_1457,tail_ret_1450_1457,tail_volume_ratio,tail_limit_gap,pct_chg,limit_gap,display_rank
2026-06-17,002297.SZ,博云新材,main,25.78,0.4010167259172361,0.0,0.1488413547237077,0.2376380220835334,0.9591245333265956,141,"short momentum, strong market mood",0.0355987055016182,-0.0161414296694849,0.2188692344368577,0.0269531249999999,0.0786610878661089,0.0197827773467804,1.0
2026-06-17,000066.SZ,中国长城,main,17.81,0.2389507958494766,0.0,0.1482914248871694,0.1034696406443618,1.7638955197329125,141,"volume expansion, short momentum, strong market mood",0.0370370370370369,-0.0039525691699604,0.3894701674584487,0.0351473922902494,0.0728915662650599,0.025266704098821,2.0
2026-06-17,002171.SZ,楚江新材,main,15.0,0.2057173487342198,0.0,0.1037527593818985,0.1811023622047245,1.37394435374896,141,"short momentum, strong market mood",0.0273410799726587,0.002,0.2178651562205668,0.049234863606121,0.0460251046025104,0.0513333333333332,3.0
2026-06-17,000811.SZ,冰轮环境,main,36.52,0.0331,0.0,0.186870328241794,0.1619471842188993,0.2927602347824797,141,"short momentum, strong market mood",0.0,0.0,0.0318465871371212,0.0,0.1,0.0,4.0
2026-06-17,603773.SH,沃格光电,main,166.13,0.0324,0.0,0.2798921417565483,0.0720831182240577,0.3710066417755343,141,"short momentum, strong market mood",0.0,0.0,0.0,0.0,0.0999801363967423,0.0,5.0
2026-06-17,600110.SH,诺德股份,main,17.22,0.03235,0.0,0.3307573415765068,0.4114754098360655,0.1474817047532556,141,"short momentum, strong market mood",0.0,0.0,0.0379052238421878,0.0,0.1003194888178913,0.0,6.0
2026-06-17,000725.SZ,京东方Ａ,main,6.71,0.0323,0.0,0.2046678635547576,0.1127694859038141,0.6787480992664053,141,"short momentum, strong market mood",0.0,0.0,0.0161645510017869,0.0,0.1,0.0,7.0
2026-06-17,600353.SH,旭光电子,main,38.19,0.03225,0.0,0.3311258278145694,0.4030124908155768,0.5290575211627981,141,"short momentum, strong market mood",0.0,0.0,0.0,0.0,0.0999423963133641,0.0,8.0
2026-06-18,688549.SH,中巨芯,star,34.77,0.6177060259631818,0.0,0.3665995975855129,0.3556886227544911,0.8006409905812408,141,短线动量强，市场情绪强,,,,,,,1.0
2026-06-18,688323.SH,瑞华泰,star,61.5,0.460952410203879,0.0,0.3990719257540602,0.5112781954887218,0.9503126104360968,141,短线动量强，市场情绪强,,,,,,,2.0
2026-06-18,688260.SH,昀冢科技,star,129.03,0.4295377358151071,0.0,0.5074390243902438,0.398936170212766,0.9243698509673536,141,短线动量强，市场情绪强,,,,,,,3.0
2026-06-18,688766.SH,普冉股份,star,590.0,0.4178558864145682,0.0,0.4854450958805911,0.5135388949757398,1.162267354730791,141,短线动量强，市场情绪强,,,,,,,4.0
2026-06-18,688598.SH,金博股份,star,59.75,0.4019548202952177,0.0,0.468731563421829,0.522164475695506,1.3186612102505813,141,短线动量强，市场情绪强,,,,,,,5.0
2026-06-18,603186.SH,华正新材,main,238.11,0.3592699161940622,0.0,0.3310041103934231,0.3878888072495714,1.1634738514202003,141,短线动量强，市场情绪强,,,,,,,6.0
2026-06-18,300903.SZ,科翔股份,chinext,101.58,0.3576545843358644,0.0,0.4016849921462229,0.4872727272727273,1.141670836648325,141,短线动量强，市场情绪强,,,,,,,7.0
2026-06-18,301373.SZ,凌玮科技,chinext,194.9,0.3364820533008938,0.0,0.473203502415459,0.5632358830596715,1.0078283857779864,141,短线动量强，市场情绪强,,,,,,,8.0
2026-06-18,300088.SZ,长信科技,chinext,10.37,0.3100763114970927,0.0,0.4168900804289543,0.3017241379310347,1.2991962653710227,141,短线动量强，市场情绪强,,,,,,,9.0
2026-06-18,600353.SH,旭光电子,main,42.01,0.3087749783781977,0.0,0.3311258278145694,0.4030124908155768,0.5290575211627981,141,短线动量强，市场情绪强,,,,,,,10.0
2026-06-22,688598.SH,金博股份,star,62.04,0.5440425507095454,0.0,0.5176530353060707,0.7273778548713499,1.0812161756352854,167,短线动量强，市场情绪强,,,,,,,1.0
2026-06-22,300522.SZ,世名科技,chinext,23.05,0.4976769869007214,0.0,0.5694444444444444,0.5941908713692945,1.4433085654708784,167,短线动量强，市场情绪强,,,,,,,2.0
2026-06-22,301310.SZ,鑫宏业,chinext,45.1,0.3716332351512071,0.0,0.5036989385654551,0.5100129198966408,1.637515157346914,167,成交量放大，短线动量强，市场情绪强,,,,,,,3.0
2026-06-22,300285.SZ,国瓷材料,chinext,98.9,0.3377706445509671,0.0,0.4143759873617694,0.4347756410256411,0.9973187652961388,167,短线动量强，市场情绪强,,,,,,,4.0
